Surgery,CPT_Code,Required_Kit
Appendectomy,44950,"['scalpel', 'retractor', 'suction', 'laparoscopic grasper', 'ligature', 'laparoscopic scissors', 'sterile drapes', 'gauze sponges', 'sutures', 'syringe', 'anesthesia circuit', 'gloves']"
Cholecystectomy,47562,"['scalpel', 'trocar', 'laparoscope', 'clip applier', 'suction', 'grasper', 'ligature', 'laparoscopic scissors', 'sterile drapes', 'sponges', 'sutures', 'electrocautery unit', 'antiseptic solution']"
Coronary Artery Bypass (CABG),33533,"['sternal saw', 'sternal retractor', 'vascular clamps', 'needle holder', 'forceps', 'scissors', 'suction', 'cardiopulmonary bypass circuit', 'heparin', 'sutures', 'electrocautery', 'drapes', 'sponges']"
Cesarean Section,59510,"['scalpel', 'retractor', 'suction', 'needle holder', 'forceps', 'sponge forceps', 'scissors', 'uterine pack', 'sterile drapes', 'sutures', 'gloves', 'antiseptic solution']"
Inguinal Hernia Repair,49505,"['scalpel', 'retractor', 'suture passer', 'mesh', 'needle holder', 'scissors', 'suction', 'sterile drapes', 'sponges', 'sutures', 'gloves']"
Hip Replacement,27130,"['oscillating saw', 'rasp', 'acetabular reamer', 'prosthesis', 'scalpel', 'retractor', 'suction', 'cement', 'drapes', 'gloves', 'sponges', 'sutures']"
Knee Arthroscopy,29880,"['arthroscope', 'trocar', 'shaver', 'scalpel', 'suction', 'probe', 'grasper', 'sterile fluid irrigation', 'sterile drapes', 'gloves']"
Tonsillectomy,42826,"['tonsil snare', 'scalpel', 'suction', 'retractor', 'needle holder', 'scissors', 'electrocautery', 'sponges', 'antiseptic solution', 'gloves']"
Mastectomy,19303,"['scalpel', 'retractor', 'forceps', 'scissors', 'needle holder', 'suction', 'electrocautery', 'sterile drapes', 'sponges', 'gloves', 'sutures']"
Prostatectomy,55866,"['scalpel', 'laparoscope', 'grasper', 'retractor', 'suction', 'ligature', 'needle holder', 'catheter', 'sterile drapes', 'sutures', 'gloves']"
Cataract Surgery,66984,"['ophthalmic speculum', 'phacoemulsifier', 'forceps', 'scalpel', 'lens injector', 'syringe', 'microscissors', 'antibiotic drops', 'sterile drapes', 'gloves']"
Carpal Tunnel Release,64721,"['scalpel', 'retractor', 'suction', 'forceps', 'needle holder', 'scissors', 'tourniquet', 'drapes', 'gloves', 'sutures']"
Hemorrhoidectomy,46255,"['scalpel', 'scissors', 'forceps', 'needle holder', 'suction', 'retractor', 'electrocautery', 'sponges', 'drapes', 'gloves']"
Laparoscopic Hysterectomy,58571,"['trocar', 'laparoscope', 'grasper', 'scalpel', 'scissors', 'ligature', 'suction', 'uterine manipulator', 'sponges', 'sutures', 'sterile drapes', 'gloves']"
Craniotomy,61304,"['craniotome', 'retractor', 'suction', 'microscissors', 'needle holder', 'forceps', 'electrocautery', 'sterile drapes', 'sponges', 'sutures', 'gloves']"
CABG with Valve Replacement,33534,"['sternal saw', 'sternal retractor', 'valve prosthesis', 'vascular clamps', 'needle holder', 'scissors', 'forceps', 'suction', 'cardiopulmonary bypass circuit', 'anticoagulants', 'electrocautery', 'drapes', 'sutures']"
C-Section with Tubal Ligation,59514,"['scalpel', 'retractor', 'suction', 'needle holder', 'forceps', 'scissors', 'sponge forceps', 'sterile drapes', 'ligature', 'sutures', 'antiseptic solution', 'gloves']"
Spinal Fusion,22612,"['spinal retractor', 'bone graft material', 'screws and rods', 'drill', 'scalpel', 'suction', 'electrocautery', 'drapes', 'sutures', 'gloves']"
Liver Resection,47120,"['scalpel', 'retractor', 'suction', 'clamps', 'ligature', 'needle holder', 'forceps', 'sponges', 'stapler', 'sterile drapes', 'gloves', 'sutures']"
Thyroidectomy,60240,"['scalpel', 'retractor', 'suction', 'forceps', 'scissors', 'needle holder', 'electrocautery', 'sponges', 'sterile drapes', 'sutures', 'gloves']"
